Ticker,Ex-Div Date,Dividend,Price on Ex-Date,Frequency,Source,Scraped At,Annualized Yield %
QQQY,2023-12-01,2.79,52.799999,monthly,yfinance,2025-08-11 19:58:08Z,63.409092110020694
QQQY,2023-12-28,1.86,53.189999,monthly,yfinance,2025-08-11 19:58:08Z,41.96277574662109
QQQY,2024-02-01,2.55,51.18,monthly,yfinance,2025-08-11 19:58:08Z,59.78898007033997
QQQY,2024-03-01,2.4,49.919998,monthly,yfinance,2025-08-11 19:58:09Z,57.69231000369831
QQQY,2024-04-01,2.37,47.790001,monthly,yfinance,2025-08-11 19:58:09Z,59.51035657019552
QQQY,2024-05-01,2.577,43.049999,monthly,yfinance,2025-08-11 19:58:10Z,71.83275428182937
QQQY,2024-06-03,2.403,43.200001,monthly,yfinance,2025-08-11 19:58:10Z,66.74999845486114
QQQY,2024-07-01,1.971,43.169998,monthly,yfinance,2025-08-11 19:58:11Z,54.78804979328468
QQQY,2024-07-31,2.502,39.630001,monthly,yfinance,2025-08-11 19:58:11Z,75.76078537065895
QQQY,2024-09-03,3.459,35.110001,monthly,yfinance,2025-08-11 19:58:12Z,118.22272520015025
QQQY,2024-10-01,1.994,34.25,monthly,yfinance,2025-08-11 19:58:12Z,69.86277372262774
QQQY,2024-10-10,0.345,34.41,weekly,yfinance,2025-08-11 19:58:13Z,52.13600697471665
QQQY,2024-10-17,0.276,34.139999,weekly,yfinance,2025-08-11 19:58:13Z,42.03866555473537
QQQY,2024-10-24,0.274,33.880001,weekly,yfinance,2025-08-11 19:58:14Z,42.05430808576423
QQQY,2024-10-31,0.255,33.029999,weekly,yfinance,2025-08-11 19:58:14Z,40.145323649570805
QQQY,2024-11-07,0.266,33.759998,weekly,yfinance,2025-08-11 19:58:15Z,40.97156640826815
QQQY,2024-11-14,0.34,33.540001,weekly,yfinance,2025-08-11 19:58:15Z,52.71317672292258
QQQY,2024-11-21,0.246,33.119999,weekly,yfinance,2025-08-11 19:58:16Z,38.6231895719562
